분류,코드값,상세설명
직업,761,전기·전자기기 설치 및 수리원
직업,762,전기공
직업,771,정보 통신기기 설치 및 수리원
직업,772,방송·통신장비 관련 설치 및 수리원
직업,781,건설구조 관련 기능 종사자
직업,782,건설 관련 기능 종사자
직업,783,건축 마감 관련 기능 종사자
직업,784,채굴 및 토목 관련 기능 종사자
직업,791,공예 및 귀금속 세공원
직업,792,배관공
직업,799,기타 기능 관련 종사자
직업,811,식품가공 관련 기계 조작원
직업,812,음료 제조 관련 기계 조작원
직업,819,기타 식품가공 관련 기계 조작원
직업,821,섬유 제조 및 가공기계 조작원
직업,822,직물·신발 관련 기계 조작원 및 조립원
직업,221,컴퓨터 하드웨어 및 통신공학 전문가
직업,222,컴퓨터 시스템 및 소프트웨어 전문가
직업,223,데이터 및 네트워크 관련 전문가
직업,224,정보 시스템 및 웹 운영자
직업,225,통신 및 방송 송출 장비 기사
직업,231,건축·토목 공학 기술자 및 시험원
직업,232,화학공학 기술자 및 시험원
직업,233,금속·재료 공학 기술자 및 시험원
직업,234,전기·전자공학 기술자 및 시험원
직업,235,기계·로봇공학 기술자 및 시험원
직업,236,소방·방재 기술자 및 안전 관리원
직업,237,환경공학·가스·에너지 기술자 및 시험원
직업,238,항공기·선박 기관사 및 관제사
직업,239,기타 공학 전문가 및 관련 종사자
직업,241,의료 진료 전문가
직업,242,약사 및 한약사
직업,243,간호사
직업,244,영양사
직업,245,치료·재활사 및 의료기사
직업,246,보건 의료 관련 종사자
직업,247,사회복지 관련 종사자
직업,248,종교 관련 종사자
직업,251,대학교수 및 강사
직업,252,학교 교사
직업,253,유치원 교사
직업,254,문리·기술 및 예능 강사
직업,259,기타 교육 전문가
직업,261,법률 전문가
직업,262,행정 전문가
직업,271,인사 및 경영 전문가
직업,272,금융 및 보험 전문가
직업,273,상품 기획·홍보 및 조사 전문가
직업,274,감정·기술 영업 및 중개 관련 종사자
직업,281,작가 및 언론 관련 전문가
직업,282,학예사·사서 및 기록물 관리사
직업,283,연극·영화 및 영상 전문가
직업,284,시각 및 공연 예술가
직업,285,디자이너
직업,288,문화·예술 관련 기획자 및 매니저
직업,311,행정 사무원
직업,312,경영 관련 사무원
직업,313,회계 및 경리 사무원
직업,314,비서 및 사무 보조원
직업,320,금융 사무 종사자
직업,330,법률 및 감사 사무 종사자
직업,391,통계 관련 사무원
직업,392,여행·안내 및 접수 사무원
직업,399,고객 상담 및 기타 사무원
직업,411,경찰·소방 및 교도 관련 종사자
직업,412,경호 및 보안 관련 종사자
직업,2870,주방장 및 요리 연구가
직업,4212,보육 및 교사 보조 서비스 종사원
직업,2869,기타 스포츠 및 레크리에이션 관련 전문가
직업,4123,시설 및 특수 경비원
직업,1110,의회 의원·고위 공무원 및 공공단체 임원
직업,1120,기업 고위 임원
직업,1211,정부행정 관리자
직업,1212,경영 지원 관리자
직업,1220,마케팅 및 광고·홍보 관리자
직업,1311,연구 관리자
직업,1312,교육 관리자
직업,1313,법률·경찰·소방 및 교도 관리자
직업,1320,보험 및 금융 관리자
직업,1331,보건 의료 관련 관리자
직업,1332,사회복지 관련 관리자
직업,1340,문화·예술 관련 관리자
직업,1350,정보 통신 관련 관리자
직업,1390,기타 전문 서비스 관리자
직업,1411,건설 및 광업 관련 관리자
직업,1412,전기·가스 및 수도 관련 관리자
직업,1413,제품 생산 관련 관리자
직업,1490,기타 건설·전기 및 생산 관련 관리자
직업,1511,영업 및 판매 관련 관리자
직업,1512,운송 관련 관리자
직업,1521,숙박·여행·오락 및 스포츠 관련 관리자
직업,1522,음식 서비스 관련 관리자
직업,1530,환경·청소 및 경비 관련 관리자
직업,1590,기타 판매 및 고객 서비스 관리자
직업,2111,생명과학 연구원
직업,2112,자연과학 연구원
직업,2121,인문과학 연구원
직업,2122,사회과학 연구원
직업,2131,생명과학 시험원
직업,2132,농림·어업 관련 시험원
직업,2133,자연과학 시험원
직업,2211,컴퓨터 하드웨어 기술자 및 연구원
직업,2212,통신공학 기술자 및 연구원
직업,2221,컴퓨터 시스템 전문가
직업,2222,시스템 소프트웨어 개발자
직업,2223,응용 소프트웨어 개발자
직업,2224,웹 개발자
직업,2229,기타 컴퓨터 시스템 및 소프트웨어 전문가
직업,2231,데이터 전문가
직업,2232,네트워크 시스템 개발자
직업,2233,정보 보안 전문가
직업,2239,기타 데이터 및 네트워크 관련 전문가
직업,2241,정보 시스템 운영자
직업,2242,웹 운영자
직업,2250,통신 및 방송 송출 장비 기사
직업,2311,건축가
직업,2312,건축공학 기술자
직업,2313,토목공학 기술자
직업,2314,조경 기술자
직업,2315,도시 및 교통 관련 전문가
직업,2316,측량 및 지리 정보 전문가
직업,2317,건설자재 시험원
직업,2321,화학공학 기술자 및 연구원
직업,2322,화학공학 시험원
직업,2331,금속·재료 공학 연구원 및 기술자
직업,2332,금속 및 재료 공학 시험원
직업,2341,전기공학 기술자 및 연구원
직업,2342,전자공학 기술자 및 연구원
직업,2343,전기 및 전자공학 시험원
직업,2351,기계공학 기술자 및 연구원
직업,2352,로봇공학 기술자 및 연구원
직업,8550,금속기계 부품 조립원
직업,8610,발전 및 배전장치 조작원
직업,8620,전기 및 전자설비 조작원
직업,8631,전기 부품 및 제품 제조 기계 조작원
직업,8632,전자 부품 및 제품 제조 기계 조작원
직업,8640,전기·전자 부품 및 제품 조립원
직업,8710,철도 및 전동차 기관사
직업,8720,철도운송 관련 종사원
직업,8731,택시 운전원
직업,8732,버스 운전원
직업,8733,화물차 및 특수차 운전원
직업,8739,기타 자동차 운전원
직업,8740,물품 이동 장비 조작원
직업,8750,건설 및 채굴기계 운전원
직업,8760,선박 승무원 및 관련 종사원
직업,8810,상하수도 처리 장치 조작원
직업,8820,재활용 처리 및 소각로 조작원
직업,8911,목재가공 관련 기계 조작원
직업,8912,가구 조립원
직업,8913,펄프 및 종이 제조 장치 조작원
직업,8914,종이제품 생산기 조작원
직업,8919,기타 목재 및 종이 관련 기계 조작원
직업,8921,인쇄기 조작원
직업,8922,사진 인화 및 현상기 조작원
직업,8990,기타 기계 조작원
직업,9100,건설 및 광업 단순 종사원
직업,9210,하역 및 적재 단순 종사원
직업,9221,우편집배원
직업,9222,택배원
직업,9223,음식 배달원
직업,9229,기타 배달원
직업,9300,제조 관련 단순 종사원
직업,9411,청소원
직업,9412,환경미화원 및 재활용품 수거원
직업,9421,건물 관리원
직업,9422,검표원
직업,9511,가사 도우미
직업,9512,육아 도우미
직업,9521,패스트푸드 준비원
직업,9522,주방 보조원
직업,9531,주유원
직업,9539,기타 판매 관련 단순 종사원
직업,9910,농림·어업 관련 단순 종사원
직업,9921,계기 검침원 및 가스 점검원
직업,9922,자동판매기 관리원
직업,9923,주차 관리원 및 안내원
직업,9991,구두 미화원
직업,9992,세탁원 및 다림질원
직업,9999,기타 서비스 관련 단순 종사원
직업,A011,영관급 이상 장교
직업,A012,위관급 장교
직업,A020,부사관
직업,A090,기타 군인
직업,7719,기타 정보 통신기기 설치 및 수리원
직업,7721,방송 관련 장비 설치 및 수리원
직업,7722,통신 관련 장비 설치 및 수리원
직업,7723,통신·방송·인터넷케이블 설치 및 수리원
직업,7811,강구조물 가공원 및 건립원
직업,7812,경량 철골공
직업,7821,철근공
직업,7822,콘크리트공
직업,7823,건축 석공
직업,7824,건축 목공
직업,7825,조적공 및 석재 부설원
직업,7829,기타 건설 관련 기능 종사원
직업,7831,미장공
직업,7832,방수공
직업,7833,단열공
직업,7834,바닥재 시공원
직업,7835,도배공 및 유리 부착원
직업,7836,건축 도장공
직업,7837,새시 조립 및 설치원
직업,7839,기타 건축 마감 관련 기능 종사원
직업,7841,광원·채석원 및 석재 절단원
직업,7842,철로 설치 및 보수원
직업,7849,기타 채굴 및 토목 관련 종사원
직업,7911,공예원
직업,7912,귀금속 및 보석 세공원
직업,7921,건설 배관공
직업,7922,공업 배관공
직업,7929,기타 배관공
직업,7991,배관 세정원 및 방역원
직업,7999,기타 기능 관련 종사원
직업,8111,제분 및 도정 관련 기계 조작원
직업,8112,곡물가공 제품 기계 조작원
직업,8113,육류·어패류 및 낙농품 가공 기계 조작원
직업,8114,과실 및 채소 가공 관련 기계 조작원
직업,8120,음료 제조 관련 기계 조작원
직업,8190,기타 식품가공 관련 기계 조작원
직업,8211,섬유 제조 기계 조작원
직업,8212,표백 및 염색 관련 기계 조작원
직업,8221,직조기 및 편직기 조작원
직업,8222,신발 제조기 조작원 및 조립원
직업,8229,기타 직물·신발 관련 기계 조작원 및 조립원
직업,8230,세탁 관련 기계 조작원
직업,8311,석유 및 천연가스 제조 관련 제어 장치 조작원
직업,8312,화학물 가공 장치 조작원
직업,8319,기타 석유 및 화학물 가공 장치 조작원
직업,8321,화학제품 생산기 조작원
직업,8322,타이어 및 고무제품 생산기 조작원
직업,8323,플라스틱제품 생산기 조작원
직업,8324,고무 및 플라스틱제품 조립원
직업,8411,주조기 조작원
직업,8412,단조기 조작원
직업,8413,용접기 조작원
직업,8414,금속가공 관련 제어 장치 조작원
직업,8415,금속가공 기계 조작원
직업,8416,제관기 조작원
직업,8417,판금기 조작원
직업,8421,도장기 조작원
직업,8422,도금 및 금속 분무기 조작원
직업,8431,유리 제조 및 가공기 조작원
직업,8432,점토제품 생산기 조작원
직업,8433,시멘트 및 광물제품 제조기 조작원
직업,8434,광석 및 석제품 가공기 조작원
직업,8439,기타 비금속제품 관련 생산기 조작원
직업,8510,금속 공작 기계 조작원
직업,8520,냉난방 관련 설비 조작원
직업,8530,자동 조립라인 및 산업용로봇 조작원
직업,8541,자동차 조립원
직업,8542,자동차 부품 조립원
직업,8543,운송장비 조립원
직업,8544,일반기계 조립원
직업,5220,상품 대여원
직업,5311,단말기 및 통신 서비스 판매원
직업,5312,온라인 쇼핑 판매원
직업,5313,텔레마케터
직업,5321,방문 판매원
직업,5322,노점 및 이동 판매원
직업,5323,홍보 도우미 및 판촉원
직업,6111,곡식작물 재배원
직업,6112,채소 및 특용작물 재배원
직업,6113,과수작물 재배원
직업,6121,원예작물 재배원
직업,6122,조경원
직업,6131,낙농업 관련 종사원
직업,6132,가축 사육 종사원
직업,6139,기타 사육 관련 종사원
직업,6201,조림·산림경영인 및 벌목원
직업,6209,임산물 채취 및 기타 임업 관련 종사원
직업,6301,양식원
직업,6302,어부 및 해녀
직업,7101,제빵사 및 제과원
직업,7102,떡 제조원
직업,7103,정육가공원 및 도축원
직업,7104,식품 및 담배 등급원
직업,7105,김치 및 밑반찬 제조 종사원
직업,7109,기타 식품가공 관련 종사원
직업,7211,패턴사
직업,7212,재단사
직업,7213,재봉사
직업,7214,제화원
직업,7219,기타 섬유 및 가죽 관련 기능 종사원
직업,7221,한복 제조원
직업,7222,양장 및 양복 제조원
직업,7223,모피 및 가죽 의복 제조원
직업,7224,의복·가죽 및 모피 수선원
직업,7229,기타 의복 제조 관련 기능 종사원
직업,7301,목제품 제조 관련 종사원
직업,7302,가구 제조 및 수리원
직업,7303,악기 제조 및 조율사
직업,7304,간판 제작 및 설치원
직업,7411,금형원
직업,7412,주조원
직업,7413,단조원
직업,7421,제관원
직업,7422,판금원
직업,7430,용접원
직업,7510,자동차 정비원
직업,7521,항공기 정비원
직업,7522,선박 정비원
직업,7523,철도 기관차 및 전동차 정비원
직업,7529,기타 운송장비 정비원
직업,7531,공업기계 설치 및 정비원
직업,7532,승강기 설치 및 정비원
직업,7533,물품 이동 장비 설치 및 정비원
직업,7534,냉동·냉장·공조기 설치 및 정비원
직업,7535,보일러 설치 및 정비원
직업,7536,건설·광업기계 설치 및 정비원
직업,7539,농업용·기타 기계장비 설치 및 정비원
직업,7611,사무용 전자기기 설치 및 수리원
직업,7612,가전제품 설치 및 수리원
직업,7619,기타 전기·전자기기 설치 및 수리원
직업,7621,산업 전기공
직업,7622,내선 전기공
직업,7623,외선 전기공
직업,7711,컴퓨터 설치 및 수리원
직업,7712,이동전화기 수리원
직업,3125,무역 사무원
직업,3126,운송 사무원
직업,3127,총무 사무원 및 대학 행정조교
직업,3131,회계 사무원
직업,3132,경리 사무원
직업,3141,비서
직업,3142,전산 자료 입력원 및 사무 보조원
직업,3201,출납 창구 사무원
직업,3202,보험 심사원 및 사무원
직업,3203,은행 사무원
직업,3204,증권 사무원
직업,3205,수금원 및 신용 추심원
직업,3209,기타 금융 사무원
직업,3301,법률 관련 사무원
직업,3302,감사 사무원
직업,3910,통계 관련 사무원
직업,3921,여행 사무원
직업,3922,안내·접수원 및 전화교환원
직업,3991,고객 상담 및 모니터 요원
직업,3999,기타 사무원
직업,4111,경찰관 및 수사관
직업,4112,소방관
직업,4113,소년원 학교 교사 및 교도관
직업,4121,경호원
직업,4122,청원경찰
직업,4129,기타 경호 및 보안 관련 종사원
직업,4211,돌봄 서비스 종사원
직업,4219,기타 돌봄 및 보건 서비스 종사원
직업,4221,이용사
직업,4222,미용사
직업,4223,피부 및 체형 관리사
직업,4224,메이크업 아티스트 및 분장사
직업,4229,기타 미용 관련 서비스 종사원
직업,4231,결혼상담원 및 웨딩플래너
직업,4232,혼례 종사원
직업,4233,장례 상담원 및 장례 지도사
직업,4291,반려동물 미용 및 관리 종사원
직업,4292,점술가 및 민속신앙 종사원
직업,4293,개인 생활 서비스 종사원
직업,4311,항공기 객실 승무원
직업,4312,선박 및 열차 객실 승무원
직업,4321,여가 및 관광 서비스 종사원
직업,4322,숙박시설 서비스 종사원
직업,4323,오락시설 서비스 종사원
직업,4329,기타 여가 서비스 종사원
직업,4411,한식 조리사
직업,4412,중식 조리사
직업,4413,양식 조리사
직업,4414,일식 조리사
직업,4415,음료 조리사
직업,4419,기타 조리사
직업,4421,바텐더
직업,4422,웨이터
직업,4429,기타 음식 서비스 종사원
직업,5101,자동차 영업원
직업,5102,제품 및 광고 영업원
직업,5103,보험 모집인 및 투자 권유 대행인
직업,5104,대출 및 신용카드 모집인
직업,5211,소규모 상점 경영 및 일선 관리 종사원
직업,5212,상점 판매원
직업,5213,매표원 및 복권 판매원
직업,5214,매장 계산원 및 요금 정산원
직업,2711,인사 및 노사 관련 전문가
직업,2712,회계사
직업,2713,세무사
직업,2714,관세사
직업,2715,경영 및 진단 전문가
직업,2721,투자 및 신용 분석가
직업,2722,자산 운용가
직업,2723,보험 및 금융 상품 개발자
직업,2724,증권 및 외환 딜러
직업,2725,손해 사정사
직업,2729,기타 금융 및 보험 관련 전문가
직업,2731,상품 기획 전문가
직업,2732,여행 상품 개발자
직업,2733,광고 및 홍보 전문가
직업,2734,조사 전문가
직업,2735,행사 기획자
직업,2741,감정 관련 전문가
직업,2742,해외 영업원
직업,2743,기술 영업원
직업,2744,상품 중개인 및 경매사
직업,2745,부동산 컨설턴트 및 중개사
직업,2749,기타 기술 영업 및 중개 관련 종사원
직업,2811,작가
직업,2812,출판물 전문가
직업,2813,기자 및 언론 관련 전문가
직업,2814,번역가 및 통역가
직업,2821,학예사 및 문화재 보존원
직업,2822,사서 및 기록물 관리사
직업,2831,감독 및 기술 감독
직업,2832,배우 및 모델
직업,2833,아나운서 및 리포터
직업,2834,촬영기사
직업,2835,음향 및 녹음 기사
직업,2836,영상·녹화 및 편집 기사
직업,2837,조명기사 및 영사기사
직업,2839,기타 연극·영화 및 영상 관련 종사원
직업,2841,화가 및 조각가
직업,2842,사진기자 및 사진가
직업,2843,만화가 및 만화영화 작가
직업,2844,국악 및 전통 예능인
직업,2845,지휘자·작곡가 및 연주가
직업,2846,가수 및 성악가
직업,2847,무용가 및 안무가
직업,2849,기타 시각 및 공연 예술가
직업,2851,제품 디자이너
직업,2852,패션 디자이너
직업,2853,실내장식 디자이너
직업,2854,시각 디자이너
직업,2855,미디어 콘텐츠 디자이너
직업,2861,스포츠 감독 및 코치
직업,2862,직업 운동선수
직업,2863,경기 심판 및 경기 기록원
직업,2881,공연·영화 및 음반 기획자
직업,2882,연예인 및 스포츠 매니저
직업,3111,조세행정 사무원
직업,3112,관세행정 사무원
직업,3113,병무행정 사무원
직업,3114,국가 및 지방 행정 사무원
직업,3115,공공행정 사무원
직업,3121,기획 및 마케팅 사무원
직업,3122,인사 및 교육·훈련 사무원
직업,3123,자재 관리 사무원
직업,3124,생산 및 품질 관리 사무원
직업,2353,기계 및 로봇공학 시험원
직업,2361,방재 기술자 및 연구원
직업,2362,소방공학 기술자 및 연구원
직업,2363,소방공학 시험원
직업,2364,산업 안전 및 위험 관리원
직업,2365,보건 위생 및 환경 검사원
직업,2366,비파괴 검사원
직업,2371,환경공학 기술자 및 연구원
직업,2372,가스·에너지 기술자 및 연구원
직업,2373,환경공학 시험원
직업,2374,가스 및 에너지 시험원
직업,2381,항공기 조종사
직업,2382,선장·항해사 및 도선사
직업,2383,관제사
직업,2391,식품공학 기술자 및 연구원
직업,2392,섬유공학 기술자 및 연구원
직업,2393,식품공학 시험원
직업,2394,섬유공학 시험원
직업,2395,제도사
직업,2399,기타 공학 관련 기술자 및 시험원
직업,2411,전문 의사
직업,2412,일반 의사
직업,2413,한의사
직업,2414,치과 의사
직업,2415,수의사
직업,2420,약사 및 한약사
직업,2430,간호사
직업,2440,영양사
직업,2451,임상병리사
직업,2452,방사선사
직업,2453,치과기공사
직업,2454,치과위생사
직업,2455,재활공학 기사
직업,2456,물리 및 작업 치료사
직업,2457,임상심리사
직업,2459,기타 치료·재활사 및 의료기사
직업,2461,응급 구조사
직업,2462,위생사
직업,2463,안경사
직업,2464,의무 기록사
직업,2465,간호조무사
직업,2466,안마사
직업,2471,사회복지사
직업,2472,보육교사
직업,2473,직업상담사
직업,2474,상담 전문가
직업,2475,청소년 지도사
직업,2476,시민 단체 활동가
직업,2479,기타 사회복지 관련 종사원
직업,2481,성직자
직업,2489,기타 종교 관련 종사원
직업,2511,대학교수
직업,2512,대학 시간강사
직업,2521,중·고등학교 교사
직업,2522,초등학교 교사
직업,2523,특수교육 교사
직업,2530,유치원 교사
직업,2541,문리 및 어학 강사
직업,2542,컴퓨터 강사
직업,2543,기술 및 기능계 강사
직업,2544,예능 강사
직업,2545,학습지 및 교육 교구 방문강사
직업,2549,기타 문리·기술 및 예능 강사
직업,2591,장학관·연구관 및 교육 관련 전문가
직업,2592,대학 교육 조교
직업,2599,기타 교사
직업,2611,판사 및 검사
직업,2612,변호사
직업,2613,법무사 및 집행관
직업,2614,변리사
직업,2619,기타 법률 전문가
직업,2620,정부 및 공공 행정 전문가
직업,28709,그 외 식문화 관련 전문가
직업,42121,보육 관련 시설 서비스 종사원
직업,28699,그 외 스포츠 및 레크리에이션 관련 전문가
직업,99211,계기 검침원
직업,99212,가스 점검원
직업,99220,자동판매기 관리원
직업,99231,주차 관리원
직업,99232,주차 안내원
직업,99910,구두 미화원
직업,99920,세탁원 및 다림질원
직업,99991,환경 감시원
직업,99992,대여 제품 방문 점검원
직업,99999,그 외 서비스 관련 단순 종사원
직업,A0110,영관급 이상 장교
직업,A0120,위관급 장교
직업,A0200,부사관
직업,A0900,기타 군인
직업,11101,국회의원
직업,11102,지방의회 의원 및 교육 의원
직업,11103,중앙정부 고위 공무원
직업,11104,지방정부 고위 공무원
직업,11105,공공 기관 임원
직업,11106,정당 및 특수 단체 임원
직업,11201,기업 대표이사
직업,11202,기업 고위 임원
직업,12110,정부행정 관리자
직업,12121,총무 및 인사 관리자
직업,12122,기획 관리자
직업,12123,재무 관리자
직업,12124,자재 및 구매 관리자
직업,12129,그 외 경영 지원 관리자
직업,12201,마케팅 관리자
직업,12202,광고 및 홍보 관리자
직업,12209,그 외 마케팅 및 광고·홍보 관리자
직업,13111,인문과학 연구 관리자
직업,13112,사회과학 연구 관리자
직업,92292,신문 배달원
직업,92299,그 외 배달원
직업,93001,수동 포장원
직업,93002,수동 상표 부착원
직업,93003,제품 단순 선별원
직업,93009,그 외 제조 관련 단순 종사원
직업,94111,건물 청소원
직업,94112,운송장비 청소원
직업,94119,그 외 청소원
직업,94121,쓰레기 수거원
직업,94122,거리 미화원
직업,94123,재활용품 수거원
직업,94129,그 외 환경미화원 및 재활용품 수거원
직업,94211,아파트 경비원
직업,94212,건물 경비원
직업,94219,그 외 건물 관리원
직업,94220,검표원
직업,95110,가사 도우미
직업,95120,육아 도우미
직업,95210,패스트푸드 준비원
직업,95220,주방 보조원
직업,95310,주유원
직업,95391,매장 정리원
직업,95392,전단지 배포원 및 벽보원
직업,95399,그 외 판매 관련 단순 종사원
직업,99101,농업 단순 종사원
직업,99102,임업 단순 종사원
직업,99103,어업 단순 종사원
직업,99104,산불 감시원
직업,87339,그 외 화물차 및 특수차 운전원
직업,87391,승용차 및 승합차 운전원
직업,87392,렌터카 운전원
직업,87393,대리 운전원
직업,87394,대리 주차원
직업,87399,그 외 자동차 운전원
직업,87401,크레인 운전원
직업,87402,리프트 조작원
직업,87403,호이스트 운전원
직업,87404,지게차 운전원
직업,87409,그 외 물품 이동 장비 조작원
직업,87501,굴착기·착암기 및 채광기 조작원
직업,87502,시추장비 조작원
직업,87503,도로정지기 운전원
직업,87504,항타기 운전원
직업,87505,도로포장기 및 롤러 운전원
직업,87506,굴삭기 및 불도저 운전원
직업,87507,콘크리트 믹서 트럭 운전원
직업,87508,덤프트럭 운전원
직업,87509,그 외 건설 및 채굴기계 운전원
직업,87601,선박부원
직업,87602,등대원
직업,87609,그 외 선박 관련 승무원
직업,88101,펌프 장치 조작원
직업,88102,정수 처리 장치 조작원
직업,88103,하수 처리 장치 조작원
직업,88109,그 외 상하수도 처리 장치 조작원
직업,88201,재활용 처리 기계 조작원
직업,88202,소각로 조작원
직업,88209,그 외 재활용 처리 및 소각로 조작원
직업,89111,제재기 조작원
직업,89112,목재처리기 조작원
직업,89113,합판생산기 조작원
직업,89119,그 외 목재가공 관련 기계 조작원
직업,89120,가구 조립원
직업,89131,펄프 제조 장치 조작원
직업,89132,종이 제조 장치 조작원
직업,89141,종이상자 및 봉투 제조기 조작원
직업,89142,판지 라이닝기 조작원
직업,89143,인화지 제조기 조작원
직업,89144,위생용 종이제품 제조기 조작원
직업,89149,그 외 종이제품 생산기 조작원
